gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	logFC	pct_B1	pct_A1	comparison	target	direction
Tasor	4.62541997000522e-146	11.7815377214984	0.255	0	1.02614942034566e-141	11.7815377214984	0.255	0	B1_vs_A1	vascular_gate	up_in_B1
Slc1a3	4.82776636729836e-146	3.68883471898292	0.35	0.038	1.07103996858514e-141	3.68883471898292	0.35	0.038	B1_vs_A1	vascular_gate	up_in_B1
Apcdd1	2.26160094634975e-145	6.46455221218578	0.287	0.012	5.01736169947692e-141	6.46455221218578	0.287	0.012	B1_vs_A1	vascular_gate	up_in_B1
Lingo2	3.72366859445195e-144	12.4230988259335	0.252	0	8.26095877679166e-140	12.4230988259335	0.252	0	B1_vs_A1	vascular_gate	up_in_B1
Gpm6a	3.95941103780613e-143	3.02574359994318	0.441	0.093	8.7839533873729e-139	3.02574359994318	0.441	0.093	B1_vs_A1	vascular_gate	up_in_B1
Eef1a2	1.0593351287382e-140	4.8622439273784	0.282	0.012	2.3501349831057e-136	4.8622439273784	0.282	0.012	B1_vs_A1	vascular_gate	up_in_B1
Lrp1b	1.08406529072399e-140	7.94613019509097	0.25	0.001	2.40499884747117e-136	7.94613019509097	0.25	0.001	B1_vs_A1	vascular_gate	up_in_B1
Kcnh7	2.34570458964063e-140	12.4593225688935	0.246	0	5.20394563211774e-136	12.4593225688935	0.246	0	B1_vs_A1	vascular_gate	up_in_B1
Arpp21	2.79169295124171e-139	5.3395291603184	0.272	0.009	6.19337081232972e-135	5.3395291603184	0.272	0.009	B1_vs_A1	vascular_gate	up_in_B1
Atp5o.1	9.80118648616975e-139	-11.3976459702911	0	0.377	2.17439322195676e-134	-11.3976459702911	0	0.377	B1_vs_A1	vascular_gate	up_in_A1
Tspan7	1.32705311025123e-138	3.11189552870659	0.472	0.129	2.94406732509235e-134	3.11189552870659	0.472	0.129	B1_vs_A1	vascular_gate	up_in_B1
Ralyl	4.71908777874008e-137	6.92599604035997	0.247	0.002	1.04692962371349e-132	6.92599604035997	0.247	0.002	B1_vs_A1	vascular_gate	up_in_B1
Atp5o	4.79976162507388e-137	11.6989671102577	0.24	0	1.06482711652264e-132	11.6989671102577	0.24	0	B1_vs_A1	vascular_gate	up_in_B1
Maml2	1.36447111932294e-136	4.65989475709983	0.408	0.091	3.02707917821794e-132	4.65989475709983	0.408	0.091	B1_vs_A1	vascular_gate	up_in_B1
Dock4	2.1213691409142e-136	4.43622475456748	0.435	0.115	4.70625743911815e-132	4.43622475456748	0.435	0.115	B1_vs_A1	vascular_gate	up_in_B1
Usmg5	1.82232697437681e-135	-11.5623678528518	0	0.37	4.04283239265496e-131	-11.5623678528518	0	0.37	B1_vs_A1	vascular_gate	up_in_A1
St6galnac3	3.3802024643484e-134	5.47841673164357	0.379	0.074	7.49897916715693e-130	5.47841673164357	0.379	0.074	B1_vs_A1	vascular_gate	up_in_B1
Ttyh1	8.7304674924642e-134	3.82869327340759	0.29	0.019	1.93685421320318e-129	3.82869327340759	0.29	0.019	B1_vs_A1	vascular_gate	up_in_B1
Ank2	1.20374270183695e-132	3.85427171327006	0.395	0.079	2.67050318402528e-128	3.85427171327006	0.395	0.079	B1_vs_A1	vascular_gate	up_in_B1
Minos1	1.31965200166612e-132	-11.3046139384806	0	0.364	2.92764796569629e-128	-11.3046139384806	0	0.364	B1_vs_A1	vascular_gate	up_in_A1
Snhg11	7.85409071431089e-132	5.15814958154635	0.285	0.02	1.74243002496987e-127	5.15814958154635	0.285	0.02	B1_vs_A1	vascular_gate	up_in_B1
mt-Nd4l	3.50203780546692e-131	1.25114289218848	0.929	0.733	7.76927087142836e-127	1.25114289218848	0.929	0.733	B1_vs_A1	vascular_gate	up_in_B1
2010107E04Rik	5.8716361770214e-130	-11.4051428229917	0	0.358	1.3026224858722e-125	-11.4051428229917	0	0.358	B1_vs_A1	vascular_gate	up_in_A1
Luzp2	6.69004351733187e-130	4.03561496239002	0.27	0.013	1.48418615432007e-125	4.03561496239002	0.27	0.013	B1_vs_A1	vascular_gate	up_in_B1
Psd3	2.18460127707107e-128	3.73723788552706	0.434	0.12	4.84653793318216e-124	3.73723788552706	0.434	0.12	B1_vs_A1	vascular_gate	up_in_B1
Mdga2	8.02485539838552e-128	7.27305249626194	0.243	0.006	1.78031417013183e-123	7.27305249626194	0.243	0.006	B1_vs_A1	vascular_gate	up_in_B1
Mt3	5.4608202063788e-127	1.99776871011615	0.599	0.229	1.21148296278514e-122	1.99776871011615	0.599	0.229	B1_vs_A1	vascular_gate	up_in_B1
Ctnna2	7.00488721850473e-127	6.53384889744349	0.23	0.002	1.55403422942527e-122	6.53384889744349	0.23	0.002	B1_vs_A1	vascular_gate	up_in_B1
Ppp3ca	7.32878446600692e-127	2.65226310138769	0.549	0.233	1.62589083378363e-122	2.65226310138769	0.549	0.233	B1_vs_A1	vascular_gate	up_in_B1
Prxl2a	1.01383102957757e-126	11.7249018836517	0.223	0	2.24918413911783e-122	11.7249018836517	0.223	0	B1_vs_A1	vascular_gate	up_in_B1
Oga	2.96733767815608e-126	11.3887345762855	0.223	0	6.58303863898926e-122	11.3887345762855	0.223	0	B1_vs_A1	vascular_gate	up_in_B1
mt-Cytb	5.22423006560638e-126	-1.08882342423755	1	1	1.15899544005478e-121	-1.08882342423755	1	1	B1_vs_A1	vascular_gate	up_in_A1
Hpcal4	3.54377901229998e-125	4.74197831630726	0.255	0.011	7.8618737387875e-121	4.74197831630726	0.255	0.011	B1_vs_A1	vascular_gate	up_in_B1
Dab1	3.13819697223208e-123	6.39737156684533	0.227	0.003	6.96208998289687e-119	6.39737156684533	0.227	0.003	B1_vs_A1	vascular_gate	up_in_B1
Eln	4.0207328364474e-123	-6.35265026254264	0.025	0.381	8.91999579765855e-119	-6.35265026254264	0.025	0.381	B1_vs_A1	vascular_gate	up_in_A1
Cnksr2	7.96548448496669e-123	6.20383138259679	0.233	0.005	1.76714273298986e-118	6.20383138259679	0.233	0.005	B1_vs_A1	vascular_gate	up_in_B1
Psd	4.755355301386e-121	4.22729424976028	0.297	0.032	1.05497557361248e-116	4.22729424976028	0.297	0.032	B1_vs_A1	vascular_gate	up_in_B1
Rims1	5.73992061937887e-121	6.08612421636798	0.23	0.005	1.2734013894092e-116	6.08612421636798	0.23	0.005	B1_vs_A1	vascular_gate	up_in_B1
